分類,功能名稱,狀態,版本,優先級,複雜度,影響檔案,說明,備註
計劃,排行榜,未開始,v4.3,中,高,需後端,全服最佳生存/擊殺排行,
計劃,建築系統,未開始,v4.4,中,高,data+game+sprites,木牆/石牆/門建築基地,
計劃,音效強化,未開始,—,低,低,audio,不同恐龍/biome專屬音效,
計劃,成就系統,未開始,—,低,中,data+game,解鎖成就+稱號,
計劃,季節系統,未開始,—,低,高,data+tiles+game,春夏秋冬循環影響資源,
計劃,多地圖,未開始,—,低,中,data+tiles+game,不同島嶼不同恐龍組合,
===多人同步欄位===,,,,,,,,
同步,玩家資料 p[],完成,—,—,—,game,id/x/y/hp/hu/fx/fy/a/n/si/ce,30fps廣播
同步,恐龍資料 d[],完成,—,—,—,game,id/x/y/hp/mhp/k/al/st,30fps廣播
同步,資源移除 rm[],完成,—,—,—,game,resId陣列,30fps廣播
同步,放置物 pls[],完成,—,—,—,game,tp/id/x/y 一次性,新增時發送
同步,儲藏箱 chd[],完成,—,—,—,game,id/x/y/inv,30fps廣播
同步,烹飪鍋 cpd[],完成,—,—,—,game,id/x/y/sl,30fps廣播
同步,戰鬥特效 fx[],完成,—,—,—,game,tp/x/y/fx/fy slash/arrow,30fps廣播
同步,夜間挑戰 nc{},完成,—,—,—,game,tp/sc/eggs,30fps廣播
同步,挑戰結果 ncr{},完成,—,—,—,game,type/ranking 一次性,結束時發送
===開發檢查清單===,,,,,,,,
流程,新增物品,規範,—,—,—,data→items→resources→recipes→sprites→useItem,見CLAUDE.md,
流程,新增恐龍,規範,—,—,—,data→DINOS→sprites→DINO_SPRITE_KEYS,見CLAUDE.md,
流程,新增放置物,規範,—,—,—,data→usePlaceable→visual→5點同步,見CLAUDE.md,
流程,新增挑戰類型,規範,—,—,—,data→TYPES→start/end/update→UI,見CLAUDE.md,
流程,版本發布,規範,—,—,—,code→?v=→CLAUDE.md→menu→test→commit→push→telegram,見CLAUDE.md,
